iteration,x-axis,y-axix,x-axis,y-axix
134, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
135, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
157, "x1, 180.01, y1, 32.28, x2, 180.01, y2, -32.28"
158, "x1, 180.01, y1, 32.28, x2, 180.01, y2, -32.28"
159, "x1, 190.29, y1, 63.66, x2, 190.29, y2, -63.66"
165, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
166, "x1, 177.25, y1, 14.03, x2, 177.25, y2, -14.03"
167, "x1, 177.25, y1, 14.03, x2, 177.25, y2, -14.03"
168, "x1, 177.25, y1, 14.03, x2, 177.25, y2, -14.03"
236, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
237, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
238, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
239, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
255, "x1, 177.25, y1, 14.03, x2, 177.25, y2, -14.03"
256, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
265, "x1, 177.25, y1, 14.03, x2, 177.25, y2, -14.03"
266, "x1, 176.05, y1, 24.89, x2, 176.05, y2, -24.89"
267, "x1, 176.05, y1, 24.89, x2, 176.05, y2, -24.89"
285, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
286, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
287, "x1, 188.77, y1, 60.16, x2, 188.77, y2, -60.16"
129, "x1, 182.85, y1, 43.53, x2, 182.85, y2, -43.53"
145, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
146, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
147, "x1, 180.01, y1, 32.28, x2, 180.01, y2, -32.28"
148, "x1, 180.01, y1, 32.28, x2, 180.01, y2, -32.28"
203, "x1, 182.60, y1, 32.23, x2, 182.60, y2, -32.23"
205, "x1, 182.60, y1, 32.23, x2, 182.60, y2, -32.23"
216, "x1, 181.19, y1, 24.83, x2, 181.19, y2, -24.83"
218, "x1, 182.60, y1, 32.23, x2, 182.60, y2, -32.23"
219, "x1, 181.42, y1, 38.31, x2, 181.42, y2, -38.31"
246, "x1, 177.42, y1, 32.32, x2, 177.42, y2, -32.32"
257, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
258, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
259, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
267, "x1, 182.85, y1, 43.53, x2, 182.85, y2, -43.53"
111, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
112, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
113, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
114, "x1, 177.42, y1, 32.32, x2, 177.42, y2, -32.32"
115, "x1, 177.42, y1, 32.32, x2, 177.42, y2, -32.32"
116, "x1, 177.42, y1, 32.32, x2, 177.42, y2, -32.32"
117, "x1, 177.42, y1, 32.32, x2, 177.42, y2, -32.32"
118, "x1, 177.42, y1, 32.32, x2, 177.42, y2, -32.32"
119, "x1, 177.42, y1, 32.32, x2, 177.42, y2, -32.32"
120, "x1, 177.42, y1, 32.32, x2, 177.42, y2, -32.32"
121, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
122, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
123, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
124, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
125, "x1, 178.62, y1, 24.87, x2, 178.62, y2, -24.87"
127, "x1, 177.42, y1, 32.32, x2, 177.42, y2, -32.32"
