iteration,x-axis,y-axix,x-axis,y-axix
1, "x, 94.58, y, 168.06"
2, "x, 94.58, y, 168.06"
3, "x, 94.58, y, 168.06"
4, "x, 94.58, y, 168.06"
5, "x, 94.58, y, 168.06"
6, "x, 94.58, y, 168.06"
7, "x, 94.58, y, 168.06"
8, "x, 94.58, y, 168.06"
9, "x, 94.58, y, 168.06"
10, "x, -95.87, y, -70.00"
11, "x, -81.55, y, -52.10"
12, "x, -78.05, y, -47.72"
13, "x, -78.05, y, -47.72"
14, "x, 42.97, y, -39.68"
15, "x, 7.74, y, -39.68"
16, "x, 34.53, y, -6.19"
17, "x, -5.73, y, -56.51"
18, "x, -5.73, y, -56.51"
19, "x, 36.77, y, -3.39"
20, "x, 36.77, y, -3.39"
21, "x, 36.77, y, -3.39"
22, "x, 36.77, y, -3.39"
23, "x, 62.98, y, 29.38"
24, "x, 55.50, y, 20.02"
25, "x, 55.50, y, 20.02"
26, "x, 2.45, y, -46.29"
27, "x, -28.89, y, -93.21"
28, "x, -61.47, y, -133.93"
29, "x, -71.87, y, -146.94"
30, "x, -71.87, y, -146.94"
31, "x, -75.40, y, -151.35"
32, "x, -75.40, y, -151.35"
33, "x, 88.53, y, 53.57"
34, "x, 8.65, y, -46.29"
35, "x, -71.87, y, -147.92"
36, "x, -71.87, y, -147.92"
37, "x, -71.87, y, -147.92"
38, "x, 105.08, y, 74.66"
39, "x, 88.05, y, 74.66"
40, "x, 88.05, y, 74.66"
41, "x, 88.05, y, 74.66"
42, "x, 88.05, y, 74.66"
43, "x, 97.48, y, 86.45"
44, "x, 97.48, y, 86.45"
45, "x, 97.48, y, 86.45"
46, "x, -86.52, y, -143.55"
47, "x, -86.52, y, -143.55"
48, "x, 75.81, y, 50.18"
49, "x, 75.81, y, 60.34"
50, "x, 93.95, y, 60.34"
51, "x, 74.45, y, 35.97"
52, "x, -35.14, y, -102.02"
53, "x, -35.14, y, -102.02"
54, "x, -16.76, y, -79.03"
55, "x, -16.76, y, -78.04"
56, "x, -68.37, y, -142.56"
57, "x, -68.37, y, -143.55"
58, "x, 118.73, y, 91.31"
59, "x, 118.73, y, 91.31"
60, "x, 84.13, y, 48.06"
61, "x, -4.52, y, -60.00"
62, "x, 29.24, y, -18.79"
64, "x, 47.31, y, 3.79"
65, "x, -60.26, y, -129.68"
66, "x, -60.26, y, -129.68"
67, "x, -60.26, y, -130.66"
68, "x, 68.77, y, 30.63"
69, "x, -16.00, y, -75.34"
70, "x, -70.56, y, -143.55"
71, "x, -70.56, y, -147.10"
72, "x, -70.56, y, -142.56"
73, "x, 86.45, y, 57.72"
74, "x, 86.45, y, 57.72"
75, "x, 86.45, y, 58.71"
76, "x, 86.45, y, 58.71"
77, "x, -78.06, y, -146.94"
78, "x, -78.06, y, -147.92"
79, "x, 15.44, y, -31.05"
80, "x, 15.44, y, -30.06"
81, "x, -78.06, y, -146.94"
82, "x, -78.06, y, -146.94"
83, "x, -78.06, y, -157.90"
84, "x, -78.06, y, -146.94"
85, "x, -71.87, y, -146.94"
86, "x, -75.40, y, -152.34"
87, "x, -75.40, y, -151.35"
88, "x, 93.95, y, 60.34"
89, "x, -82.56, y, -160.30"
90, "x, -82.56, y, -160.30"
91, "x, -82.56, y, -160.30"
92, "x, -82.56, y, -161.29"
93, "x, 112.65, y, 83.71"
94, "x, 112.65, y, 83.71"
95, "x, 95.23, y, 60.95"
96, "x, 21.42, y, -33.23"
97, "x, -34.19, y, -79.03"
98, "x, -34.19, y, -79.03"
99, "x, 16.37, y, -14.84"
100, "x, -16.97, y, -56.51"
101, "x, -28.32, y, -70.71"
102, "x, -78.90, y, -134.92"
103, "x, -78.90, y, -134.92"
104, "x, 16.37, y, -15.83"
105, "x, -89.31, y, -147.92"
106, "x, -89.31, y, -157.52"
107, "x, -89.31, y, -157.52"
108, "x, -65.82, y, -146.94"
109, "x, -88.90, y, -146.94"
110, "x, -88.90, y, -146.94"
111, "x, -88.90, y, -146.94"
112, "x, -88.90, y, -147.92"
113, "x, 87.23, y, 73.23"
114, "x, 87.23, y, 73.23"
115, "x, -96.00, y, -155.81"
116, "x, -88.90, y, -146.94"
117, "x, -88.90, y, -147.92"
118, "x, 101.69, y, 90.32"
