iteration,x-axis,y-axix,x-axis,y-axix
iteration,x-axis,y-axix,x-axis,y-axix
1, "x, 119.87, y, 168.06"
2, "x, 119.87, y, 168.06"
3, "x, 119.87, y, 168.06"
4, "x, 119.87, y, 168.06"
5, "x, 119.87, y, 168.06"
6, "x, 119.87, y, 168.06"
7, "x, 119.87, y, -52.10"
8, "x, 119.87, y, -52.10"
9, "x, 119.87, y, -47.72"
10, "x, 119.87, y, -47.72"
11, "x, 142.32, y, -39.68"
12, "x, 142.32, y, -39.68"
13, "x, 142.32, y, -6.19"
14, "x, 142.32, y, -6.19"
16, "x, 142.32, y, -3.39"
17, "x, 91.23, y, -3.39"
18, "x, 91.23, y, -3.39"
19, "x, 91.23, y, -3.39"
20, "x, 92.02, y, 28.39"
21, "x, 91.23, y, 29.38"
22, "x, 91.53, y, 4.78"
23, "x, 91.53, y, -46.29"
24, "x, 91.53, y, -93.21"
25, "x, 91.53, y, -133.93"
26, "x, 91.53, y, 29.38"
27, "x, 93.55, y, -146.94"
28, "x, 93.55, y, -146.94"
29, "x, 93.55, y, -151.35"
30, "x, 93.55, y, -151.35"
31, "x, 100.82, y, 53.57"
32, "x, 100.82, y, -46.29"
33, "x, 101.61, y, -147.92"
34, "x, 101.61, y, -147.92"
35, "x, 101.61, y, -147.92"
36, "x, 126.34, y, 74.66"
37, "x, 126.34, y, 74.66"
38, "x, 126.34, y, 74.66"
39, "x, 126.34, y, 74.66"
40, "x, 126.34, y, 74.66"
41, "x, 126.34, y, 86.45"
42, "x, 126.34, y, 86.45"
43, "x, 126.34, y, 86.45"
44, "x, 126.34, y, 86.45"
45, "x, 126.34, y, 86.45"
46, "x, 133.68, y, 77.28"
47, "x, 110.82, y, 87.44"
48, "x, 110.82, y, 87.44"
49, "x, 110.82, y, 87.44"
50, "x, 111.61, y, 34.98"
51, "x, 111.61, y, -102.02"
52, "x, 134.32, y, -102.02"
53, "x, 133.53, y, -78.04"
54, "x, 134.32, y, 1.11"
55, "x, 134.32, y, -143.55"
56, "x, 133.53, y, -142.56"
57, "x, 133.53, y, 91.31"
58, "x, 134.32, y, 47.08"
59, "x, 133.53, y, 48.06"
60, "x, 133.53, y, -17.80"
61, "x, 134.32, y, -18.79"
62, "x, 133.53, y, -17.80"
