iteration,x-axis,y-axix,x-axis,y-axix
1, "x, 94.58, y, 199.68"
2, "x, 94.58, y, 199.68"
3, "x, 94.58, y, 199.68"
4, "x, 94.58, y, 199.68"
5, "x, 94.58, y, 199.68"
6, "x, 94.58, y, 199.68"
7, "x, 94.58, y, 199.68"
8, "x, 94.58, y, 199.68"
9, "x, 94.58, y, 199.68"
10, "x, 94.58, y, 199.68"
11, "x, -95.87, y, 199.68"
12, "x, -81.55, y, 199.68"
13, "x, -81.55, y, 199.68"
14, "x, -78.05, y, 199.68"
16, "x, 7.74, y, 195.32"
17, "x, 34.53, y, 195.32"
18, "x, -5.73, y, 195.32"
19, "x, -5.73, y, 195.32"
20, "x, 36.77, y, 195.32"
21, "x, 36.77, y, 195.32"
23, "x, 36.77, y, 195.32"
24, "x, 62.98, y, 195.32"
25, "x, 55.50, y, 195.32"
26, "x, 43.31, y, 195.32"
27, "x, 2.45, y, 195.32"
28, "x, -28.89, y, 187.58"
29, "x, -61.47, y, 187.58"
31, "x, -71.87, y, 187.58"
32, "x, -71.87, y, 187.58"
33, "x, -75.40, y, 187.58"
34, "x, -75.40, y, 187.58"
35, "x, 88.53, y, 187.58"
37, "x, -71.87, y, 187.58"
38, "x, -71.87, y, 187.58"
39, "x, -71.87, y, 187.58"
40, "x, 105.08, y, 188.97"
41, "x, 88.05, y, 210.26"
43, "x, 88.05, y, 210.26"
44, "x, 56.31, y, 210.26"
45, "x, 97.48, y, 210.26"
46, "x, 97.48, y, 210.26"
47, "x, 97.48, y, 210.26"
48, "x, -86.52, y, 210.26"
49, "x, -86.52, y, 210.26"
51, "x, 75.81, y, 210.26"
52, "x, 93.95, y, 187.58"
53, "x, 93.95, y, 187.58"
54, "x, 74.45, y, 187.58"
55, "x, -35.14, y, 187.58"
56, "x, -35.14, y, 187.58"
57, "x, -16.76, y, 187.58"
58, "x, 47.35, y, 187.58"
59, "x, -68.37, y, 187.58"
60, "x, -68.37, y, 187.58"
62, "x, 118.73, y, 187.58"
63, "x, 84.13, y, 187.58"
64, "x, -4.52, y, 190.32"
65, "x, 29.24, y, 190.32"
66, "x, 29.24, y, 190.32"
67, "x, 47.31, y, 190.32"
68, "x, -60.26, y, 190.32"
69, "x, -74.06, y, 190.32"
70, "x, -74.06, y, 190.32"
71, "x, 68.77, y, 190.32"
72, "x, -16.00, y, 190.32"
73, "x, -70.56, y, 190.32"
74, "x, -70.56, y, 190.32"
75, "x, -70.56, y, 190.32"
76, "x, 86.45, y, 195.32"
77, "x, 86.45, y, 195.32"
78, "x, 86.45, y, 195.32"
