iteration,x-axis,y-axix,x-axis,y-axix
1, "x, 125.55, y, 113.87"
2, "x, 125.55, y, 113.87"
3, "x, 125.55, y, 113.87"
4, "x, 125.55, y, 113.87"
5, "x, 125.55, y, 113.87"
6, "x, 125.55, y, 113.87"
7, "x, 125.55, y, 113.87"
8, "x, 125.55, y, 113.87"
9, "x, 125.55, y, 113.87"
10, "x, 125.55, y, 113.87"
11, "x, 125.55, y, 113.87"
12, "x, 147.98, y, 141.92"
13, "x, 137.16, y, 100.14"
14, "x, 137.16, y, 142.82"
15, "x, 137.16, y, 142.82"
16, "x, 137.16, y, 142.82"
17, "x, 137.16, y, 142.82"
18, "x, 137.16, y, 142.82"
19, "x, 137.16, y, 142.82"
20, "x, 82.26, y, 74.19"
21, "x, 137.16, y, 142.82"
22, "x, 137.16, y, 142.82"
23, "x, 137.16, y, 142.82"
24, "x, 156.11, y, 142.82"
25, "x, 143.55, y, 120.32"
26, "x, 137.16, y, 149.17"
27, "x, 137.16, y, 149.17"
28, "x, 155.89, y, 151.61"
29, "x, 100.00, y, 63.47"
30, "x, 137.16, y, 109.92"
31, "x, 137.16, y, 109.92"
32, "x, 137.16, y, 109.92"
33, "x, 137.16, y, 109.92"
34, "x, 113.94, y, 59.29"
35, "x, 137.16, y, 109.92"
36, "x, 135.98, y, 134.44"
37, "x, 137.16, y, 118.69"
38, "x, 137.16, y, 118.69"
39, "x, 111.76, y, 86.94"
40, "x, 137.16, y, 118.69"
41, "x, 137.16, y, 118.69"
42, "x, 137.16, y, 118.69"
43, "x, 137.16, y, 118.69"
44, "x, 137.16, y, 118.69"
45, "x, 156.45, y, 118.69"
46, "x, 137.16, y, 118.69"
47, "x, 137.16, y, 118.69"
48, "x, 127.89, y, 126.29"
49, "x, 146.31, y, 135.62"
50, "x, 153.40, y, 135.62"
51, "x, 155.35, y, 138.06"
52, "x, 137.16, y, 135.62"
53, "x, 137.16, y, 135.62"
54, "x, 137.16, y, 135.62"
55, "x, 137.16, y, 135.62"
56, "x, 137.16, y, 135.62"
57, "x, 140.50, y, 135.62"
58, "x, 84.92, y, 70.32"
59, "x, 139.11, y, 146.96"
60, "x, 137.16, y, 123.47"
61, "x, 139.11, y, 125.91"
62, "x, 137.16, y, 123.47"
63, "x, 96.66, y, 72.84"
64, "x, 137.16, y, 123.47"
65, "x, 137.16, y, 123.47"
66, "x, 137.16, y, 123.47"
67, "x, 107.55, y, 86.45"
68, "x, 149.53, y, 123.47"
69, "x, 137.16, y, 123.47"
70, "x, 137.16, y, 113.55"
71, "x, 137.16, y, 126.45"
72, "x, 127.89, y, 114.86"
73, "x, 137.16, y, 126.45"
74, "x, 137.16, y, 126.45"
75, "x, 137.16, y, 126.45"
76, "x, 135.98, y, 126.45"
77, "x, 137.16, y, 126.45"
78, "x, 137.16, y, 126.45"
79, "x, 154.44, y, 126.45"
80, "x, 140.50, y, 126.45"
81, "x, 147.16, y, 126.45"
82, "x, 137.16, y, 126.45"
83, "x, 81.82, y, 60.10"
84, "x, 81.82, y, 60.10"
85, "x, 137.16, y, 129.27"
86, "x, 139.11, y, 131.71"
87, "x, 96.66, y, 78.65"
88, "x, 137.16, y, 129.27"
89, "x, 137.16, y, 129.27"
90, "x, 137.16, y, 129.27"
91, "x, 155.34, y, 129.27"
92, "x, 102.39, y, 85.81"
93, "x, 135.98, y, 136.77"
94, "x, 137.16, y, 100.14"
95, "x, 137.16, y, 124.98"
96, "x, 137.16, y, 124.98"
97, "x, 137.16, y, 124.98"
