iteration,x-axis,y-axix,x-axis,y-axix
iteration,x-axis,y-axix,x-axis,y-axix
62, "x, 63.87, y, 106.61"
63, "x, 89.95, y, 106.61"
64, "x, 77.35, y, 57.32"
65, "x, 89.95, y, 73.06"
66, "x, 103.82, y, 73.06"
67, "x, 89.95, y, 73.06"
68, "x, 89.95, y, 73.06"
69, "x, 89.95, y, 73.06"
70, "x, 89.95, y, 100.26"
71, "x, 89.95, y, 73.06"
72, "x, 106.21, y, 73.06"
73, "x, 89.95, y, 73.06"
74, "x, 89.95, y, 107.36"
75, "x, 89.95, y, 74.86"
76, "x, 89.95, y, 73.06"
77, "x, 66.47, y, 43.71"
78, "x, 103.82, y, 73.06"
79, "x, 89.95, y, 73.06"
80, "x, 95.89, y, 74.86"
81, "x, 89.95, y, 73.06"
82, "x, 98.66, y, 73.06"
83, "x, 106.21, y, 73.06"
84, "x, 117.03, y, 73.06"
85, "x, 123.48, y, 73.06"
86, "x, 89.95, y, 111.45"
87, "x, 89.95, y, 90.58"
88, "x, 80.40, y, 61.13"
89, "x, 84.90, y, 61.13"
90, "x, 88.39, y, 73.06"
91, "x, 89.95, y, 73.06"
92, "x, 89.95, y, 73.06"
93, "x, 89.95, y, 73.06"
94, "x, 89.95, y, 73.06"
95, "x, 107.35, y, 73.06"
96, "x, 89.95, y, 73.06"
97, "x, 89.95, y, 73.06"
98, "x, 89.95, y, 73.06"
99, "x, 81.48, y, 72.64"
100, "x, 66.97, y, 44.33"
101, "x, 90.56, y, 44.33"
102, "x, 89.95, y, 73.06"
103, "x, 89.95, y, 73.06"
104, "x, 89.95, y, 103.23"
105, "x, 89.95, y, 73.06"
106, "x, 89.95, y, 73.06"
107, "x, 105.03, y, 81.63"
108, "x, 89.95, y, 73.06"
109, "x, 89.95, y, 73.06"
110, "x, 89.95, y, 73.06"
111, "x, 89.95, y, 80.00"
112, "x, 72.92, y, 51.77"
113, "x, 103.82, y, 73.06"
114, "x, 87.37, y, 69.84"
115, "x, 89.95, y, 78.33"
116, "x, 89.95, y, 73.06"
117, "x, 89.95, y, 73.06"
118, "x, 97.29, y, 73.06"
119, "x, 110.60, y, 73.06"
120, "x, 119.31, y, 73.06"
121, "x, 88.39, y, 73.06"
122, "x, 89.95, y, 108.06"
123, "x, 93.42, y, 58.55"
124, "x, 78.34, y, 58.55"
125, "x, 89.95, y, 73.06"
126, "x, 102.58, y, 73.06"
127, "x, 89.95, y, 81.63"
128, "x, 89.95, y, 73.06"
129, "x, 88.39, y, 73.06"
130, "x, 89.95, y, 73.06"
131, "x, 89.95, y, 73.06"
132, "x, 89.95, y, 73.06"
133, "x, 89.95, y, 73.06"
134, "x, 89.95, y, 73.06"
135, "x, 83.74, y, 65.30"
136, "x, 89.95, y, 73.06"
137, "x, 89.95, y, 73.06"
138, "x, 97.29, y, 73.06"
139, "x, 81.48, y, 75.71"
140, "x, 89.95, y, 73.06"
141, "x, 89.95, y, 73.06"
142, "x, 89.95, y, 78.33"
143, "x, 89.95, y, 78.33"
144, "x, 83.74, y, 65.30"
145, "x, 89.95, y, 73.06"
146, "x, 89.95, y, 78.33"
147, "x, 89.95, y, 73.06"
148, "x, 89.95, y, 73.06"
149, "x, 97.29, y, 73.06"
150, "x, 89.95, y, 87.76"
151, "x, 89.95, y, 73.06"
152, "x, 88.39, y, 105.00"
153, "x, 89.95, y, 73.06"
154, "x, 81.29, y, 46.45"
155, "x, 113.55, y, 73.06"
156, "x, 121.29, y, 73.06"
157, "x, 89.95, y, 73.06"
158, "x, 89.95, y, 81.63"
159, "x, 66.97, y, 44.33"
160, "x, 89.95, y, 73.06"
161, "x, 89.95, y, 73.06"
162, "x, 89.95, y, 73.06"
163, "x, 89.95, y, 73.06"
164, "x, 74.60, y, 53.87"
165, "x, 74.60, y, 53.87"
166, "x, 89.95, y, 73.06"
167, "x, 89.95, y, 73.06"
168, "x, 89.95, y, 81.63"
169, "x, 84.92, y, 75.34"
170, "x, 89.95, y, 91.94"
171, "x, 73.74, y, 52.80"
172, "x, 89.95, y, 73.06"
173, "x, 89.95, y, 73.06"
174, "x, 89.95, y, 73.06"
175, "x, 89.95, y, 73.06"
176, "x, 89.95, y, 73.06"
177, "x, 89.95, y, 78.33"
178, "x, 89.95, y, 73.06"
179, "x, 89.95, y, 73.06"
180, "x, 89.95, y, 73.06"
181, "x, 89.95, y, 101.29"
182, "x, 83.74, y, 65.30"
183, "x, 89.95, y, 73.06"
184, "x, 75.48, y, 54.98"
185, "x, 89.95, y, 73.06"
186, "x, 89.95, y, 73.06"
187, "x, 97.29, y, 73.06"
188, "x, 120.00, y, 73.06"
189, "x, 112.37, y, 65.30"
190, "x, 89.95, y, 73.06"
191, "x, 89.95, y, 73.06"
192, "x, 89.95, y, 73.06"
193, "x, 89.95, y, 101.29"
194, "x, 89.95, y, 73.06"
195, "x, 101.31, y, 73.06"
196, "x, 89.95, y, 73.06"
197, "x, 89.95, y, 101.29"
198, "x, 89.95, y, 73.06"
199, "x, 89.95, y, 73.06"
200, "x, 115.35, y, 73.06"
201, "x, 89.95, y, 73.06"
202, "x, 89.95, y, 73.06"
203, "x, 89.95, y, 73.06"
204, "x, 89.95, y, 73.06"
205, "x, 89.95, y, 73.06"
206, "x, 100.00, y, 51.77"
207, "x, 95.89, y, 73.06"
208, "x, 89.95, y, 73.06"
209, "x, 67.50, y, 45.00"
210, "x, 89.95, y, 73.06"
211, "x, 89.95, y, 74.86"
212, "x, 89.95, y, 73.06"
213, "x, 89.95, y, 73.06"
214, "x, 73.74, y, 52.80"
215, "x, 89.95, y, 73.06"
216, "x, 88.39, y, 96.94"
217, "x, 79.35, y, 59.82"
218, "x, 113.55, y, 73.06"
219, "x, 89.95, y, 87.76"
220, "x, 89.95, y, 73.06"
221, "x, 89.95, y, 90.58"
222, "x, 89.95, y, 73.06"
223, "x, 92.98, y, 73.06"
224, "x, 86.69, y, 47.24"
225, "x, 117.03, y, 73.06"
226, "x, 123.48, y, 73.06"
227, "x, 89.95, y, 73.06"
228, "x, 88.39, y, 100.26"
229, "x, 88.47, y, 53.87"
