iteration,x-axis,y-axix,x-axis,y-axix
11, 177.28495166666661,103.47926571428572
12, 177.28495166666661,103.47926571428572
17, 71.44228439796701,105.0
18, 75.84354643714519,101.8663657142857
20, 75.84354643714519,101.8663657142857
21, 75.84354643714519,101.8663657142857
22, 75.84354643714519,101.8663657142857
23, 75.84354643714519,101.8663657142857
24, 75.84354643714519,101.8663657142857
25, 75.84354643714519,101.8663657142857
26, 75.84354643714519,101.8663657142857
27, 75.84354643714519,101.8663657142857
29, 73.62775192277232,100.34563142857141
30, 73.62775192277232,100.34563142857141
31, 73.62775192277232,100.34563142857141
32, 73.62775192277232,100.34563142857141
37, 178.24373111111112,98.85561904761903
43, 279.89775611154624,101.8049219047619,69.11392989181182,100.43779714285714
44, 279.89775611154624,101.8049219047619,69.11392989181182,100.43779714285714
45, 279.89775611154624,101.8049219047619,69.11392989181182,100.43779714285714
46, 279.89775611154624,101.8049219047619,69.11392989181182,100.43779714285714
47, 279.89775611154624,101.8049219047619,69.11392989181182,100.43779714285714
48, 279.89775611154624,101.8049219047619,71.4213780718211,101.92780952380953
49, 279.89775611154624,101.8049219047619,71.4213780718211,101.92780952380953
50, 279.89775611154624,101.8049219047619,71.4213780718211,101.92780952380953
51, 279.89775611154624,101.8049219047619,71.4213780718211,101.92780952380953
52, 279.89775611154624,101.8049219047619,71.4213780718211,101.92780952380953
53, 279.89775611154624,101.8049219047619,71.4213780718211,101.92780952380953
58, 177.33871499999998,101.80492190476191
59, 177.33871499999998,101.80492190476191
60, 177.33871499999998,101.80492190476191
66, 279.89775611154624,101.8049219047619
67, 279.89775611154624,101.8049219047619
68, 279.89775611154624,101.8049219047619
69, 279.89775611154624,101.8049219047619
70, 273.89612508223183,96.78189047619048
71, 273.89612508223183,96.78189047619048
72, 273.89612508223183,96.78189047619048
73, 273.89612508223183,96.78189047619048
74, 273.89612508223183,96.78189047619048
75, 273.89612508223183,96.78189047619048
76, 273.89612508223183,96.78189047619048
77, 273.89612508223183,96.78189047619048
78, 273.89612508223183,96.78189047619048
79, 273.89612508223183,96.78189047619048
80, 273.89612508223183,96.78189047619048
81, 279.89775611154624,101.8049219047619
82, 279.89775611154624,101.8049219047619
83, 279.89775611154624,101.8049219047619
84, 279.89775611154624,101.8049219047619
85, 279.89775611154624,101.8049219047619
86, 279.89775611154624,101.8049219047619
87, 281.9912459240955,103.41782190476191
88, 281.9912459240955,103.41782190476191
89, 281.9912459240955,103.41782190476191
91, 281.9912459240955,103.41782190476191
92, 281.9912459240955,103.41782190476191
93, 281.9912459240955,103.41782190476191
94, 281.9912459240955,103.41782190476191
95, 281.9912459240955,103.41782190476191
96, 281.9912459240955,103.41782190476191
97, 281.9912459240955,103.41782190476191
98, 281.9912459240955,103.41782190476191
99, 281.9912459240955,103.41782190476191
100, 281.9912459240955,103.41782190476191
101, 281.9912459240955,103.41782190476191
102, 281.9912459240955,103.41782190476191
103, 281.9912459240955,103.41782190476191
104, 281.9912459240955,103.41782190476191
105, 281.9912459240955,103.41782190476191
106, 281.9912459240955,103.41782190476191
107, 281.9912459240955,103.41782190476191
108, 281.9912459240955,103.41782190476191
109, 281.9912459240955,103.41782190476191
110, 281.9912459240955,103.41782190476191
111, 281.9912459240955,103.41782190476191
112, 281.9912459240955,103.41782190476191
113, 281.9912459240955,103.41782190476191
114, 281.9912459240955,103.41782190476191
115, 281.9912459240955,103.41782190476191
116, 281.9912459240955,103.41782190476191
121, 178.20788888888887,103.4178219047619
122, 178.20788888888887,103.4178219047619
123, 180.0,103.4178219047619
124, 180.0,103.4178219047619
125, 180.0,103.4178219047619
126, 180.0,103.4178219047619
131, 279.89775611154624,101.8049219047619,89.8862006515347,93.27959333333331
132, 279.89775611154624,101.8049219047619,89.8862006515347,93.27959333333331
133, 279.89775611154624,101.8049219047619,89.8862006515347,93.27959333333331
134, 279.89775611154624,101.8049219047619,89.8862006515347,93.27959333333331
135, 279.89775611154624,101.8049219047619,89.8862006515347,93.27959333333331
137, 279.89775611154624,101.8049219047619,87.83478158623265,91.72813714285714
138, 279.89775611154624,101.8049219047619,87.83478158623265,91.72813714285714
141, 279.89775611154624,101.8049219047619,82.0518667657842,96.9355
142, 277.85180718780236,100.1613,82.0518667657842,96.9355
143, 277.85180718780236,100.1613,82.0518667657842,96.9355
144, 277.85180718780236,100.1613,82.0518667657842,96.9355
145, 277.85180718780236,100.1613,82.0518667657842,96.9355
146, 277.85180718780236,100.1613,82.0518667657842,96.9355
147, 277.85180718780236,100.1613,80.03186055478982,98.60984380952378
148, 277.85180718780236,100.1613,80.03186055478982,98.60984380952378
149, 277.85180718780236,100.1613,80.03186055478982,98.60984380952378
150, 284.13425278823127,105.0,80.03186055478982,98.60984380952378
152, 279.89775611154624,108.1950780952381,77.8716662970154,97.0891095238095
153, 279.89775611154624,108.1950780952381,77.8716662970154,97.0891095238095
154, 279.89775611154624,108.1950780952381,79.91441724550064,95.4147657142857
155, 277.80368649635193,106.61290000000001,79.91441724550064,95.4147657142857
156, 277.80368649635193,106.61290000000001,79.91441724550064,95.4147657142857
157, 277.80368649635193,106.61290000000001,79.91441724550064,95.4147657142857
158, 275.7777282122846,108.25652190476193,79.91441724550064,95.4147657142857
159, 275.7777282122846,108.25652190476193,79.91441724550064,95.4147657142857
160, 275.7777282122846,108.25652190476193,79.91441724550064,95.4147657142857
161, 275.7777282122846,108.25652190476193,79.91441724550064,95.4147657142857
162, 277.85180718780236,109.8387,79.91441724550064,95.4147657142857
163, 277.85180718780236,109.8387,79.91441724550064,95.4147657142857
164, 277.85180718780236,109.8387,77.7343367584267,93.92475333333333
165, 277.85180718780236,109.8387,77.7343367584267,93.92475333333333
166, 281.9912459240955,106.5821780952381,77.7343367584267,93.92475333333333
168, 281.9912459240955,106.5821780952381,77.7343367584267,93.92475333333333
169, 281.9912459240955,106.5821780952381,77.7343367584267,93.92475333333333
170, 281.9912459240955,106.5821780952381,77.7343367584267,93.92475333333333
171, 281.9912459240955,106.5821780952381,77.7343367584267,93.92475333333333
172, 281.9912459240955,106.5821780952381,79.91441724550064,95.4147657142857
173, 281.9912459240955,106.5821780952381,79.91441724550064,95.4147657142857
174, 281.9912459240955,106.5821780952381,79.91441724550064,95.4147657142857
179, 175.3853138888889,95.4147657142857
180, 175.3853138888889,97.08910952380951
181, 175.3853138888889,97.08910952380951
186, 277.85180718780236,109.8387,77.7343367584267,93.92475333333333
187, 277.85180718780236,109.8387,77.7343367584267,93.92475333333333
188, 277.85180718780236,109.8387,77.7343367584267,93.92475333333333
189, 277.85180718780236,109.8387,77.7343367584267,93.92475333333333
